PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5jOnW,r4rk1/ppp2ppp/8/q3PQ2/1b4P1/2NBP3/PB5P/2R1K2n b - - 4 17,a8e8 f5h7,581,85,100,82,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/q68ZQoX3/black#34,Polish_Opening Polish_Opening_Other_variations
5jU8u,r1b3k1/1pq2ppp/p1n2n2/3p2B1/8/P1NB4/1PP2PPP/R3Q1K1 b - - 0 15,f6g4 e1e8,542,81,100,85,mate mateIn1 middlegame oneMove,https://lichess.org/e9K6Nvq1/black#30,Sicilian_Defense Sicilian_Defense_Kan_Variation
5jlJ1,r2q1rk1/pb2bppp/2pp4/8/4Q3/3B4/PPP2PPP/R1B1R1K1 b - - 3 13,e7f6 e4h7,549,83,100,405,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/B7xaUAkS/black#26,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
5jtIK,r4rk1/ppb2ppp/2Bqpn2/8/3p4/1P1P3P/PB3PPN/R2Q1RK1 w - - 1 18,c6b7 d6h2,661,99,100,31,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/20ENVEt8#35,French_Defense French_Defense_Knight_Variation
5jtwT,8/1pk5/1p2r3/1Pb5/P1R1K3/2p5/2R5/8 w - - 19 56,e4d3 e6e3,615,77,100,176,endgame mate mateIn1 oneMove,https://lichess.org/VcVoJwwO#111,
5jvQa,8/8/1k1p2p1/p6p/1p1N1q2/1P5R/2PR2PP/2K5 w - - 10 50,c1d1 f4f1,603,77,98,429,endgame mate mateIn1 oneMove,https://lichess.org/JWo9ohSm#99,
5jwxQ,r1b2rk1/5ppp/p1nppb2/4q3/Np2P1P1/5Q1P/PPP1NP2/1K1R1B1R w - - 2 15,a4b6 e5b2,438,89,100,423,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/MBC7oByO#29,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
5jzmW,2k5/R1P2p2/6p1/7p/p7/5PP1/6PK/r7 w - - 0 43,h2h3 a1h1,786,84,100,59,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/6hx56MTv#85,
5k74D,r2qk2r/pp1nbp1p/2p5/3pNp1Q/3Pn3/1PN1P3/PB3PPP/R3K2R b KQkq - 5 12,e7b4 h5f7,555,80,100,311,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Uayrbzzc/black#24,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
5kD6A,8/8/8/8/8/K1R5/p7/k2r4 b - - 9 62,d1d2 c3c1,561,89,100,59,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/T1R8Hz7s/black#124,
5kHSs,r3k2r/ppp2pp1/2nb2p1/8/3N2nq/2N1P2P/PPPB1P2/R2QK2R w KQkq - 4 13,d4f3 h4f2,719,76,100,197,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/8mde0rEc#25,Englund_Gambit Englund_Gambit_Other_variations
5kJZL,3r2k1/6pp/1p5q/p6r/P3Q3/2B1PpP1/3P1PnK/3R3R w - - 2 37,h2g1 h5h1,674,78,100,97,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/6UJl5z7y#73,
5kXmT,2r1r1k1/ppq2p1p/3p1bp1/P2P4/3P4/1Q3N2/P1bN1PPP/R2K3R w - - 5 21,b3c2 c7c2,459,88,100,281,mate mateIn1 middlegame oneMove,https://lichess.org/EoWCrEYD#41,
5kZTG,2kr1b1r/ppp2pPp/2n5/8/2B5/P3Pb2/1P3P1P/R1BNK1R1 w Q - 1 13,g7h8q d8d1,689,80,98,426,mate mateIn1 middlegame oneMove,https://lichess.org/d2wB7Lku#25,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
5kZap,rn3rk1/pbp3pp/1p1pp1q1/5p2/3PP3/2PB4/PP4PP/R1BQ1RK1 w - - 1 14,e4f5 g6g2,621,80,99,808,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4JWwn8z0#27,Indian_Defense Indian_Defense_Other_variations
5kcSO,r4rk1/ppp3p1/3pp2p/6q1/3QPn2/2N4P/PPP2BP1/R4R1K w - - 2 17,f2e3 g5g2,558,84,97,610,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Dgm7B3xz#33,Bishops_Opening Bishops_Opening_Vienna_Hybrid
5kgni,rnb1k2r/ppp2ppp/4p3/4P1B1/8/2P2NnP/P1P3P1/3RKB2 b kq - 0 12,g3f1 d1d8,747,77,100,124,mate mateIn1 middlegame oneMove,https://lichess.org/NhmKwGxP/black#24,Pirc_Defense Pirc_Defense_Other_variations
5kjXP,rnb2Bk1/pp3ppp/4p3/4q3/8/5pP1/PPP2K1P/R2Q1B1R b - - 1 14,g8f8 d1d8,605,95,100,34,mate mateIn1 middlegame oneMove,https://lichess.org/kQEfBxyn/black#28,Indian_Defense Indian_Defense_Other_variations
