PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
04ViB,8/5kpp/4N3/4bP2/p7/P3B2P/1Pp5/K1Rr4 w - - 1 37,e6f4 e5d4 a1a2 d4e3 c1c2 e3f4,1899,95,100,26,advantage endgame fork long pin,https://lichess.org/8qN8bmAK#73,
04crN,r4rk1/pb3p1p/1p2p1p1/2qp1P2/6P1/1P1BP2P/PBPK2Q1/5R2 b - - 0 22,c5e3 d2e3 d5d4 e3f2 b7g2 f2g2,1904,75,97,395,advantage hangingPiece long middlegame,https://lichess.org/bBK74wgd/black#44,
04qgk,4k2r/1R3p2/p3b2p/q2pPpp1/3N4/2r5/P4QPP/1R4K1 b k - 1 25,a5c5 d4e6 c3c1 b1c1 c5c1 f2f1,1873,127,100,10,advantage long master middlegame,https://lichess.org/ksYuamFb/black#50,
04rVT,R4br1/P2bkp2/2p2p1p/3np3/4Q1P1/7P/3PKP2/2q2B1R b - - 1 26,d5f4 e2f3 d7g4 h3g4 c1d1 f3e3,2443,154,100,34,defensiveMove equality long middlegame,https://lichess.org/JcG9moPM/black#52,
052yI,r4rk1/1p5p/p7/3p2q1/P2Pp1B1/1P2PpN1/5P2/R5QK w - - 0 28,g3e4 g5h4 g1h2 h4h2 h1h2 d5e4,1876,228,100,10,equality exposedKing long middlegame,https://lichess.org/4xsJQEEC#55,
05BL3,r5rk/5b1p/1qp2n1P/5B2/p7/2P3R1/P5Q1/K2R4 b - - 0 30,g8g3 g2g3 a8g8 g3d6 f6d7 f5d7,2606,82,98,179,advantage long middlegame,https://lichess.org/xUSYMHF5/black#60,
05RSR,kr5r/Bppbnpp1/p2p1q1p/P2Bp3/2N1P3/1QPP4/1P3PPP/R4RK1 b - - 0 17,a8a7 b3b6 c7b6 a5b6 a7a8 a1a6,1944,76,97,1727,long mate mateIn3 middlegame pin sacrifice,https://lichess.org/o1etnWXI/black#34,Italian_Game Italian_Game_Giuoco_Pianissimo
05W3J,2r2rk1/p1q2pp1/4p3/1pnp2P1/5PP1/5P2/PPPQ4/2KR3R b - - 0 20,c5a4 d2h2 c7c2 h2c2 c8c2 c1c2,1885,74,97,709,advantage long middlegame quietMove,https://lichess.org/kx0GOpDo/black#40,
05d4D,k7/pp6/2p1rb2/8/K3b3/8/7Q/3R4 w - - 0 44,h2h6 e4c2 a4a3 f6e7 a3b2 e6h6,2007,75,97,4126,crushing discoveredAttack endgame fork long,https://lichess.org/2eMC2j6a#87,
06GlT,2r5/1b1nb2k/p2p2pP/8/1p1BPQ2/1P3P2/1Pq5/K5R1 b - - 1 28,c8f8 f4g4 d7e5 d4e5 g6g5 g4d7,2381,97,100,42,advantage long middlegame pin,https://lichess.org/rO9dTb9U/black#56,
06NeM,4n1kr/pb5B/1p1q4/2p3N1/2P2p2/P1P2P2/2Q2BP1/6K1 b - - 1 28,g8g7 c2f5 b7c8 f5c8 d6d1 g1h2,1846,226,100,2,advantage long middlegame,https://lichess.org/TEp8tmDc/black#56,
06Tj8,6k1/6pp/5r2/p3qp2/Pnp5/Q1R1P2P/6P1/3R2K1 w - - 0 34,a3c1 b4a2 d1d8 g8f7 c1d1 a2c3,2010,74,100,136,advantage defensiveMove endgame fork long,https://lichess.org/v1IbvGmb#67,
06UEH,2q5/R5pk/6rp/4P3/4N3/3P1Q1n/1PP2Pr1/5R1K w - - 0 38,e4g3 h3f4 e5e6 c8e6 f3g2 f4g2,2249,75,97,1763,advantage long middlegame,https://lichess.org/Zbg5D4Qo#75,
06XtR,1r6/3q1k2/3P3p/3R1P2/8/1pQ2KP1/6P1/8 w - - 8 52,c3b2 d7c6 b2e5 b8e8 e5d4 b3b2,2020,76,97,928,advancedPawn crushing endgame long pin,https://lichess.org/t5K1Wx7u#103,
070tM,2b3k1/1p3p1n/p1p1p1q1/8/2P5/P4Q2/1P3PP1/4R1K1 b - - 1 33,g6f5 f3f5 e6f5 e1e8 g8g7 e8c8,1809,75,100,117,advantage endgame fork long,https://lichess.org/11OLTYy2/black#66,
07CVg,3r2k1/1q3ppp/4P3/3p4/3r4/7P/1P2Q1P1/3N1RK1 b - - 0 31,d8f8 e6e7 f8e8 e2f2 e8e7 f2d4,2216,111,100,39,advancedPawn advantage endgame long,https://lichess.org/a4P5zGGC/black#62,
07EoQ,rr6/2q1kp2/6pB/ppp1P2n/P2p3P/1P1P4/2P2R1Q/1K3N2 b - - 3 33,b5a4 f2f7 e7f7 e5e6 f7e6 h2c7,1822,74,99,1065,advantage attraction discoveredAttack long middlegame sacrifice,https://lichess.org/XgksArwf/black#66,
07dY0,8/4k3/1p1p4/p1pRrP2/P1P2K2/1P6/8/8 b - - 2 50,e5d5 c4d5 e7f6 f4g4 f6e5 g4g5,1957,109,100,20,crushing defensiveMove endgame long,https://lichess.org/u4zIoP7K/black#100,
07jLU,2k1r3/p1p5/2r3bR/4n3/PqN2p2/1P1PbP2/KQ2B1P1/3R4 b - - 0 31,e5d3 e2d3 g6d3 h6c6 d3c4 c6c4,1837,75,98,1025,advantage long middlegame,https://lichess.org/2fDYEkSU/black#62,
07low,3r2k1/pp2Bpbp/8/3P1q2/8/2N4b/PPPQN1r1/2RRK3 w - - 5 30,d2f4 g7c3 b2c3 g2e2 e1e2 f5f4,2025,75,97,87,crushing exposedKing long middlegame,https://lichess.org/82UjykSY#59,
07n8H,r7/4p3/1p3kr1/3p1p1Q/1RpPpP2/q1P1P1P1/3K3R/8 b - - 0 36,a8a6 h5h8 f6e6 h8e5 e6d7 e5d5,1931,77,100,81,crushing deflection endgame long,https://lichess.org/KgEuU9EI/black#72,
07r9F,5q1k/8/pp1p2Q1/2pPp1P1/2P5/P1P4K/8/8 w - - 0 43,g6f6 f8f6 g5f6 h8h7 h3g4 h7g6,1986,75,99,90,crushing endgame long queenEndgame,https://lichess.org/p68GGJNY#85,
07upy,2kr2nr/2p1b3/pp1pPp2/3P4/5R1p/P2PB1q1/BPPQ2PK/5R2 w - - 2 23,h2h1 h4h3 h1g1 h3g2 d2g2 g3e3,1866,75,98,899,advancedPawn advantage kingsideAttack long middlegame,https://lichess.org/okYjIkr5#45,
0820e,2r5/1p5P/1p2Q3/1k2p3/2r1q2P/P3B3/1P2KP2/4N3 b - - 2 42,e4h7 e6b6 b5a4 b2b3 a4a3 b3c4,1886,75,98,826,crushing endgame fork long,https://lichess.org/MYpaMFcy/black#84,
089hP,r1bq1rk1/p3bppp/5n2/3pp1B1/8/2N5/PPPQ1PPP/2KR1B1R w - - 0 13,c3d5 d8d5 d2d5 f6d5 g5e7 d5e7,2256,77,98,112,advantage long opening,https://lichess.org/spQf5TEf#25,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
08FF1,7k/pp1R2p1/7p/8/8/6QP/Pq3rPK/8 b - - 5 31,a7a5 d7d8 h8h7 g3d3 g7g6 d8d7,2024,135,100,8,advantage endgame long,https://lichess.org/UkAl1d56/black#62,
08VVF,r3k2r/ppq2p2/2p1b1p1/3pP3/3Pn2b/2P2Q2/PP2B3/RN3KNR b kq - 1 17,e4g3 f3g3 h4g3 h1h8 e8e7 h8a8,1826,231,100,6,equality long middlegame skewer,https://lichess.org/o2uaLgbo/black#34,
08p1T,Q1kr3r/1pp1bppp/3p1n2/3P4/4Pq2/3B4/PPPN2PP/R5K1 b - - 1 15,c8d7 d3b5 c7c6 b5c6 b7c6 a8c6,2225,76,97,575,middlegame,https://lichess.org/PYp1zZT2/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
08rb9,r1b1r3/pppn2b1/2n3kp/3Q4/3P1q2/2P2NP1/PP1N1P1P/R4K1R b - - 0 15,f4f7 f3h4 g6f6 d5f5 f6e7 h4g6,2232,77,98,450,advantage long middlegame,https://lichess.org/Yks20Qzk/black#30,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
08uBQ,5rk1/4q2p/4pppP/1p1b4/pNrQ1P2/3B2P1/PKP5/3R4 w - - 4 30,d3c4 e7b4 c4b3 b4d4 d1d4 a4b3,1824,76,97,63,advantage hangingPiece long master middlegame,https://lichess.org/hj5Rsw79#59,
09iOu,7r/2kp2R1/p3P3/1ppb4/3pP2r/3P2p1/PPP3P1/RN3K2 w - - 0 23,e4d5 h4f4 f1e1 h8h1 e1e2 f4f2,1820,82,100,51,endgame long mate mateIn3,https://lichess.org/KSorGXsC#45,
09lvW,8/1p6/2pR4/5R1p/4P2P/6P1/1r2kPK1/r7 w - - 1 48,d6f6 b2b1 g3g4 b1g1 g2h2 h5g4,2476,152,100,25,crushing endgame long quietMove rookEndgame,https://lichess.org/rgHUCskG#95,
09vqt,rn1q1k1r/pp2b2p/2p1QN2/8/2P2pp1/8/PPP3PP/R1B2K1R w - - 3 17,f6g4 d8d1 f1f2 e7c5 g4e3 f4e3,2121,75,98,198,advantage long middlegame,https://lichess.org/T0wmNOtH#33,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
0A8wa,r4rk1/pppq1pp1/2n3n1/6BQ/4N2b/1P6/1PP3PP/1N3R1K b - - 1 20,h4g5 e4g5 f8d8 h5h7 g8f8 h7g6,2136,75,97,410,advantage kingsideAttack long middlegame pin,https://lichess.org/UulZsdwa/black#40,
0AL2v,2r3k1/6Pp/8/2P2p2/p2Bp3/Pr1bP3/3K1PP1/2R4R w - - 4 32,h1h7 g8h7 c1h1 h7g6 h1h8 b3b8,1973,76,100,141,advantage defensiveMove endgame hangingPiece long,https://lichess.org/CDFVegta#63,
0ASzV,rnb1kb1r/pp2pppp/3p4/8/8/2PB1N2/Pq1N1PPP/R2QK2R b KQkq - 1 10,b2c3 a1c1 c3d3 c1c8 e8d7 d1c1,2135,75,99,222,advantage defensiveMove long opening skewer,https://lichess.org/AQN7JLLH/black#20,Sicilian_Defense Sicilian_Defense_Modern_Variations
0B1zB,8/1p5k/p2p2p1/3Pp3/4P1B1/1P2bPP1/P4QK1/2q5 w - - 1 36,f2e2 c1g1 g2h3 e3f2 e2f2 g1f2,1930,74,97,528,crushing endgame long,https://lichess.org/OhHsp1Kt#71,
0BGXb,3r4/1pp3Q1/2qkpr2/7P/3p1P2/2P1P1P1/3K4/R6R w - - 2 38,g7f6 c6c3 d2e2 d4d3 e2f3 c3f6,2265,75,97,751,advantage discoveredAttack endgame long,https://lichess.org/ljnbj6Oz#75,
0BPEg,R7/3k3P/3p4/2p2p2/8/3p4/7r/2K5 b - - 2 44,d7c6 h7h8q h2h8 a8h8 c6d5 h8h4,1877,203,100,26,advancedPawn crushing defensiveMove endgame long master promotion,https://lichess.org/9O1AClep/black#88,
0BwFl,6k1/2p2pp1/p1pp3p/5bq1/5r2/PBP1Q2P/1P3PP1/R5K1 b - - 2 20,d6d5 g2g3 f4e4 e3g5 h6g5 b3c2,2139,80,100,242,advantage endgame long,https://lichess.org/lxgKeM6w/black#40,
0BzgA,4b3/4R2p/6pk/2BBNp1n/p2P1b2/7P/Pr6/6K1 w - - 4 32,e7e8 f4e3 g1f1 h5g3 f1e1 b2b1,1945,75,100,178,exposedKing long mate mateIn3 middlegame,https://lichess.org/yWvDyuwY#63,
0C9TM,2k4r/Rnp5/4N3/4Pp1p/6q1/5bP1/2R2P1P/5K2 b - - 2 38,h8h7 a7a8 c8d7 e6f8 d7e7 c2c7,2170,75,97,1064,deflection fork long mate mateIn3 middlegame,https://lichess.org/Ijm0QZxY/black#76,
0CK6a,r1k4r/8/p1p2p2/P1Pq1b1p/3NnBpP/8/1Q4PK/3R4 b - - 0 36,d5c5 d1c1 g4g3 f4g3 c5c1 b2c1,2193,97,100,37,advantage long middlegame,https://lichess.org/xOeNf4gM/black#72,
0CNgV,3r4/pp4pk/2n1R2p/2Q2p1q/2Bp1B1P/P2P2Pb/1PP2P2/6K1 w - - 3 29,g1h2 h5f3 c4d5 d8d5 c5d5 f3d5,1837,76,100,115,crushing long master middlegame,https://lichess.org/B8Cy7cwu#57,
0CYzf,8/2p4p/8/p3pkPP/2P3R1/5PK1/2r5/8 b - - 0 45,a5a4 g5g6 h7g6 h5g6 c2d2 g6g7,2024,75,97,536,advancedPawn crushing endgame long rookEndgame,https://lichess.org/w6Zm2sNc/black#90,
0Cj9a,r1b2rk1/pp3pp1/2p2b1p/5Qn1/5P2/2P1B1P1/PP4BP/3R1RK1 b - - 0 18,c8f5 f4g5 f5g4 g5f6 g4d1 f1d1,1849,74,97,1720,advantage long middlegame,https://lichess.org/ZTkwYMXc/black#36,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
0D9tH,1k1r4/p3bp1p/2Qp1r1n/8/P3P3/2PP4/1P5P/6RK w - - 4 31,g1g5 d6d5 c6b5 f6b6 g5d5 b6b5,2068,74,99,262,advantage defensiveMove endgame long,https://lichess.org/8lWMnYi1#61,
0DFaC,8/pNp1k3/1pP5/3P1p1p/3b4/5P1P/P3K3/8 b - - 0 40,h5h4 d5d6 c7d6 c6c7 e7d7 b7d6,2121,78,100,81,advancedPawn crushing endgame long,https://lichess.org/D2sp9SpS/black#80,
0DedC,r5k1/ppp2pp1/5q1p/8/1nPP1n2/3PQN2/PB3PP1/4RK2 w - - 1 20,d4d5 f6b2 e3f4 b4d3 f4d4 b2d4,1915,75,97,4155,crushing fork long middlegame,https://lichess.org/dRyn4xib#39,
0DsHr,r4k1r/pp1Q1ppp/2n1p3/q1P1Pb2/2P5/2b1BB2/PP4PP/2KR2NR w - - 1 15,f3c6 c3b2 c1b2 a5b4 b2a1 b4c3,1801,75,97,1400,attraction long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/RunkS57k#29,Alekhine_Defense Alekhine_Defense_Four_Pawns_Attack
0E22G,4R3/8/4p2k/5p1P/8/6P1/2r1rPK1/5R2 b - - 10 37,h6h5 e8g8 e2f2 f1f2 c2f2 g2f2,1948,75,97,1391,crushing endgame long quietMove rookEndgame,https://lichess.org/ERvEZBsR/black#74,
0EBLF,1r1q2k1/6b1/p2pp2p/2p2P2/p1B1Q3/2R5/2P3P1/3K4 b - - 0 28,g7c3 e4e6 g8g7 e6g6 g7h8 g6h6,1864,84,100,86,deflection endgame exposedKing long mate mateIn3,https://lichess.org/sBE2qALH/black#56,
