PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0Fchb,3r2k1/5ppp/1N2p3/8/3n4/1P5P/2R2PP1/6K1 w - - 0 31,c2d2 d4f3 g2f3 d8d2,1077,76,97,6820,advantage discoveredAttack endgame short,https://lichess.org/CPPCIK0N#61,
0Fcy0,3q1rk1/2p2ppp/8/1P1b4/8/4Pn2/1P1Q1PPP/3R1RK1 w - - 2 20,g2f3 d8g5 g1h1 d5f3,1070,76,100,71,endgame intermezzo mate mateIn2 short,https://lichess.org/X0cQzF3t#39,
0Fd5H,Q7/5k2/8/1p6/6qp/6B1/6K1/8 w - - 2 61,a8f3 g4f3 g2f3 h4g3,1349,75,100,201,crushing endgame short,https://lichess.org/f2MNedkl#121,
0Fekb,6k1/5pp1/4pq1p/8/1Q6/1P2P2P/r4PP1/3R2K1 w - - 0 29,b4c4 f6f2 g1h2 f2g2,1085,184,100,7,endgame mate mateIn2 short,https://lichess.org/XPulxvlx#57,
0FgeC,8/8/3k4/2pPp2B/2K1P3/1P6/6n1/8 w - - 2 58,c4d3 g2f4 d3d2 f4h5,891,77,100,233,endgame master,https://lichess.org/klTMnm9w#115,
0Fhlb,3r2k1/2R3pp/8/1N6/1P6/P1Nn2P1/3n1r2/1K5R w - - 3 26,b1a1 d2b3 a1b1 f2b2,1136,77,100,126,mate mateIn2 middlegame short,https://lichess.org/Gp5tiq8U#51,
0Fl7B,r1bq2k1/1pp3p1/1bnp1n1p/p2Np3/P1P1P3/3PB3/1P3PPP/R2Q1RK1 b - - 0 13,c8g4 d5f6 d8f6 d1g4,1120,76,97,486,advantage kingsideAttack middlegame short,https://lichess.org/6DYSTWwU/black#26,Italian_Game Italian_Game_Giuoco_Piano
0FlBR,3qr1k1/p1p2pp1/7p/2b1P3/2Pn1B2/4Q1PP/Pr3PB1/R4RK1 w - - 0 21,e3c3 d4e2 g1h1 e2c3,875,76,99,542,crushing fork middlegame short,https://lichess.org/NKqlBarc#41,
0FlIL,r1b1kbnr/pppp1ppp/5q2/4p3/3nP3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 3 5,c1g5 d4f3 g2f3 f6g5,1193,76,100,93,advantage opening short,https://lichess.org/3UWrQMA9#9,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense
0Fmtn,8/pp4k1/2p5/8/2P1n1BP/6b1/PP2r2K/1R3R2 w - - 0 40,h2g1 g3h2 g1h1 e4g3,1489,76,100,1065,endgame mate mateIn2 short,https://lichess.org/rBadouz8#79,
0Fp8Y,5r2/p3R2p/3p2pk/3b4/6K1/6P1/P5r1/R7 b - - 6 31,a7a5 a1h1 g2h2 h1h2,910,79,100,936,endgame mate mateIn2 short,https://lichess.org/QnjpKlJW/black#62,
0FqVu,4Qbk1/3N1pp1/3qp2p/3p4/1P1P1P2/r1P1RRP1/2r3P1/6K1 w - - 5 37,f3f2 a3a1 g1h2 c2f2,1237,75,100,263,advantage deflection middlegame short,https://lichess.org/ZtbkuCEl#73,
0Fqs7,2r2rk1/pp1b1ppp/1q2p1n1/3pP3/PP1Q1P2/2P5/4B1PP/RN3RK1 b - - 0 15,c8c3 d4b6 a7b6 b1c3,1331,80,100,96,advantage intermezzo middlegame short,https://lichess.org/801v1lUp/black#30,French_Defense French_Defense_Advance_Variation
0FyZb,6k1/7p/1pNr2p1/pP3q2/2Pp1p2/3Pb3/Q3R1PP/5K2 b - - 9 35,f5d3 c4c5 g8g7 c5d6,1345,76,99,4437,advantage discoveredAttack endgame master short,https://lichess.org/GSkO7BOT/black#70,
0G34v,4rrk1/1b4p1/7p/2pR1p2/1pP4q/1P2pQBP/P5P1/R4BK1 b - - 1 30,b7d5 f3d5 g8h8 g3h4,937,75,97,1810,crushing middlegame short,https://lichess.org/Qmw1KJVY/black#60,
0G3LV,r7/2pk4/4p1pp/N2bP3/1b1P4/1N5P/5PP1/R4K2 b - - 4 31,d5b3 a5b3 a8a1 b3a1,1576,500,100,1,endgame equality short,https://lichess.org/66XDKWv3/black#62,
0G46H,5k2/p4r2/8/R7/P1P1K3/8/8/8 w - - 2 62,e4d5 f7f5 d5d4 f5a5,871,82,100,150,endgame,https://lichess.org/DoY0sSBi#123,
0G8K6,2r3k1/R6p/4ppp1/8/3Q4/7P/P4PPK/2q5 b - - 2 33,c1c5 d4d7 c5a7 d7a7,1615,75,97,12434,crushing endgame master short,https://lichess.org/xWW0sMz3/black#66,
